"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL633","Ileia",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL641","Voiotia",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL642","Evvoia",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL644","Fthiotida",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL651","Argolida, Arkadia",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","EL652","Korinthia",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ES612","Cadiz",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ES618","Sevilla",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","FR812","Gard",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","FR815","Pyrenees-Orientales",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","FR823","Alpes-Maritimes",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","FR824","Bouches-du-Rhone",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","FR826","Vaucluse",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","FR831","Corse-du-Sud",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HR041","Grad Zagreb",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HR042","Zagrebacka županija",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HR044","Varaždinska županija",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HR045","Koprivnicko-križevacka županija",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HR046","Medimurska županija",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HR048","Viroviticko-podravska županija",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HR049","Požeško-slavonska županija",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HR04A","Brodsko-posavska županija",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HR04B","Osjecko-baranjska županija",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HR04C","Vukovarsko-srijemska županija",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HR04D","Karlovacka županija",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HR04E","Sisacko-moslavacka županija",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU101","Budapest",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU102","Pest",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU211","Fejer",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU212","Komarom-Esztergom",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU213","Veszprem",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU221","Gyor-Moson-Sopron",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU222","Vas",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU223","Zala",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU231","Baranya",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU232","Somogy",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU233","Tolna",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU311","Borsod-Abauj-Zemplen",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU312","Heves",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU313","Nograd",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU321","Hajdu-Bihar",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU322","Jasz-Nagykun-Szolnok",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU323","Szabolcs-Szatmar-Bereg",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU331","Bacs-Kiskun",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU332","Bekes",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","HU333","Csongrad",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ILG11610","Central District",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ILG11611","Haifa",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ILG11612","Jerusalem",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ILG11613","Northern",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ILG11614","Southern District",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ILG11615","Tel Aviv",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITC11","Torino",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITC12","Vercelli",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITC15","Novara",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITC16","Cuneo",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITC17","Asti",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITC18","Alessandria",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITC41","Varese",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITC42","Como",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITC46","Bergamo",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITC47","Brescia",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITC48","Pavia",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITC49","Lodi",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITC4A","Cremona",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITC4B","Mantova",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITC4C","Milano",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITF46","Foggia",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITF52","Matera",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITG11","Trapani",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITG25","Sassari",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITG28","Oristano",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH31","Verona",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH32","Vicenza",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH33","Belluno",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH34","Treviso",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH35","Venezia",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH36","Padova",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH37","Rovigo",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH41","Pordenone",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH42","Udine",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH43","Gorizia",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH51","Piacenza",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH52","Parma",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH53","Reggio nell'Emilia",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH54","Modena",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH55","Bologna",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH56","Ferrara",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH57","Ravenna",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH58","Forlì-Cesena",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITH59","Rimini",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITI16","Livorno",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITI17","Pisa",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","ITI32","Ancona",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","MEG125351","Bar",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","MEG125355","Cetinje",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","MEG125365","Podgorica",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","PSG13403","Tubas",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","PSG191","Gaza Strip",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","PT150","Algarve",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO111","Bihor",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO112","Bistrita-Nasaud",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO113","Cluj",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO115","Satu Mare",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO121","Alba",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO122","Brasov",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO123","Covasna",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO124","Harghita",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO125","Mures",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO126","Sibiu",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO211","Bacau",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO212","Botosani",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO213","Iasi",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO214","Neamt",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO215","Suceava",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO216","Vaslui",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO221","Braila",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO222","Buzau",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO223","Constanta",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO224","Galati",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO225","Tulcea",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO226","Vrancea",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO311","Arges",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO312","Calarasi",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO313","Dambovita",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO314","Giurgiu",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO315","Ialomita",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO316","Prahova",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO317","Teleorman",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO321","Bucuresti",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO322","Ilfov",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO411","Dolj",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO413","Mehedinti",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO414","Olt",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO415","Valcea",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO422","Caras-Severin",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RO423","Hunedoara",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125371","Borski",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125372","Branicevski",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125373","Grad Beograd",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125375","Juzno-backi",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125376","Juzno-banatski",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125377","Kolubarski",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125381","Macvanski",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125383","Nisavski",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125384","Pcinjski",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125387","Podunavski",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125388","Pomoravski",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125390","Rasinski",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125391","Raski",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125392","Severno-backi",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125393","Severno-banatski",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125394","Srednje-banatski",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125395","Sremski",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125396","Sumadijski",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125399","Zapadno-backi",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RSG125400","Zlatiborski",2.000000000,"Cases reported in 2018"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RUG12490","Altayskiy Kray",3.000000000,"Cases reported during 2011–2017"
"West Nile virus infection","All seasons","Human cases in current and past seasons","-","2019-W23","RUG12493","Astrakhanskaya Oblast",3.000000000,"Cases reported during 2011–2017"
